Protein	Protein ID	Entry Name	Gene	Description	14WIS Spectral Count	14WS Spectral Count	34WIS Spectral Count	34WS Spectral Count	39WIS Spectral Count	39WS Spectral Count	46WIS Spectral Count	46WS Spectral Count	55WIS Spectral Count	55WS Spectral Count	61WIS Spectral Count	61WS Spectral Count	80WIS Spectral Count	80WS Spectral Count	82WIS Spectral Count	82WS Spectral Count
tr|F6W075|F6W075_MACMU	F6W075	F6W075_MACMU	PIP5KL1	Phosphatidylinositol-4-phosphate 5-kinase like 1	0	0	4	0	4	0	2	0	0	0	3	0	0	0	1	0
tr|F6Z3Y0|F6Z3Y0_MACMU	F6Z3Y0	F6Z3Y0_MACMU	ESD	S-formylglutathione hydrolase	2	2	0	0	0	0	0	0	1	3	0	2	0	2	1	1
tr|F7EEW0|F7EEW0_MACMU	F7EEW0	F7EEW0_MACMU	PTGDS	Prostaglandin D2 synthase	3	0	3	0	0	0	1	0	2	0	2	0	1	0	2	0
tr|F7H4P3|F7H4P3_MACMU	F7H4P3	F7H4P3_MACMU	PSMB4	Proteasome subunit beta	2	2	1	1	0	2	0	1	0	0	0	1	0	2	1	1
tr|F6SB08|F6SB08_MACMU	F6SB08	F6SB08_MACMU		60S ribosomal protein L10P insertion domain-containing protein	0	1	1	1	1	1	1	2	1	0	0	0	1	1	1	2
tr|A0A1D5QPK0|A0A1D5QPK0_MACMU	A0A1D5QPK0	A0A1D5QPK0_MACMU	TUBB4A	Tubulin beta chain	1	0	1	0	1	1	2	1	1	0	3	1	0	0	2	0
tr|G7NJ13|G7NJ13_MACMU	G7NJ13	G7NJ13_MACMU	COPS3	COP9 signalosome complex subunit 3 isoform 1	0	0	1	0	2	1	1	1	1	0	2	1	1	1	1	1
tr|F7FKS0|F7FKS0_MACMU	F7FKS0	F7FKS0_MACMU	DMD	Dystrophin	0	0	0	0	0	2	0	3	3	1	0	1	0	2	0	2
tr|A0A5F7Z9H2|A0A5F7Z9H2_MACMU	A0A5F7Z9H2	A0A5F7Z9H2_MACMU		Metallothionein	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
sp|Q5TM70|FLOT1_MACMU	Q5TM70	FLOT1_MACMU	FLOT1	Flotillin-1	4	0	0	0	1	0	1	0	1	0	1	0	1	0	4	0
tr|A0A1D5QAM2|A0A1D5QAM2_MACMU	A0A1D5QAM2	A0A1D5QAM2_MACMU	APEH	Acylamino-acid-releasing enzyme	0	2	0	1	0	1	0	1	0	2	0	1	0	1	0	4
tr|A0A1D5QUS6|A0A1D5QUS6_MACMU	A0A1D5QUS6	A0A1D5QUS6_MACMU	ATP1A1	Sodium/potassium-transporting ATPase subunit alpha	0	0	1	0	1	0	3	0	1	0	4	0	0	1	2	0
tr|A0A1D5R9X3|A0A1D5R9X3_MACMU	A0A1D5R9X3	A0A1D5R9X3_MACMU	STAT1	Signal transducer and activator of transcription	1	0	0	0	2	0	2	0	0	0	2	1	1	0	3	1
tr|A0A5F8AJA1|A0A5F8AJA1_MACMU	A0A5F8AJA1	A0A5F8AJA1_MACMU	ENOPH1	Enolase-phosphatase E1	2	1	0	2	0	1	0	1	1	2	0	0	0	2	1	0
tr|F6Q1J4|F6Q1J4_MACMU	F6Q1J4	F6Q1J4_MACMU	GAPDHS	Glyceraldehyde-3-phosphate dehydrogenase	1	0	0	2	0	0	1	0	0	1	0	0	0	0	8	0
tr|F6T8X7|F6T8X7_MACMU	F6T8X7	F6T8X7_MACMU	RTCA	RNA 3'-terminal-phosphate cyclase (ATP)	2	0	2	0	0	0	1	0	3	0	1	0	1	0	3	0
tr|F6U8R5|F6U8R5_MACMU	F6U8R5	F6U8R5_MACMU	UBE2K	E2 ubiquitin-conjugating enzyme	1	0	0	0	3	0	4	0	1	0	2	0	2	0	0	0
tr|F6ZPZ6|F6ZPZ6_MACMU	F6ZPZ6	F6ZPZ6_MACMU	CADM2	Cell adhesion molecule 2	1	0	3	0	1	0	2	0	1	0	4	0	0	0	1	0
tr|F7EMR3|F7EMR3_MACMU	F7EMR3	F7EMR3_MACMU	ANK3	Ankyrin 3	1	0	2	0	3	0	1	0	1	0	4	0	0	0	1	0
tr|H9ER03|H9ER03_MACMU	H9ER03	H9ER03_MACMU	PHPT1	14 kDa phosphohistidine phosphatase	0	0	0	3	0	2	0	1	0	0	0	5	0	1	0	1
tr|H9FZ75|H9FZ75_MACMU	H9FZ75	H9FZ75_MACMU	TSNAX	Translin associated factor X	2	0	2	0	2	0	2	0	1	0	2	0	0	0	2	0
tr|A0A1D5QC69|A0A1D5QC69_MACMU	A0A1D5QC69	A0A1D5QC69_MACMU	CUL5	Cullin 5	2	0	0	0	3	0	4	0	0	0	0	0	2	0	1	0
tr|A0A1D5QJA3|A0A1D5QJA3_MACMU	A0A1D5QJA3	A0A1D5QJA3_MACMU	PSMB3	Proteasome subunit beta	2	1	0	1	1	1	0	1	0	0	0	1	0	1	2	1
tr|A0A1D5RI53|A0A1D5RI53_MACMU	A0A1D5RI53	A0A1D5RI53_MACMU	CYB5R3	NADH-cytochrome b5 reductase	1	0	0	0	0	0	1	0	1	0	1	0	1	0	7	0
tr|A0A1D5RII3|A0A1D5RII3_MACMU	A0A1D5RII3	A0A1D5RII3_MACMU	PEPD	Peptidase D	0	1	0	0	1	0	0	1	1	4	0	1	0	1	0	2
tr|A0A5F8A0A6|A0A5F8A0A6_MACMU	A0A5F8A0A6	A0A5F8A0A6_MACMU	LDHB	L-lactate dehydrogenase	4	3	0	0	1	0	0	2	0	0	0	0	1	0	1	0
tr|F6R1X3|F6R1X3_MACMU	F6R1X3	F6R1X3_MACMU	PSMD2	26S proteasome non-ATPase regulatory subunit 2	0	0	0	1	2	0	2	2	1	1	1	1	0	0	1	0
tr|F6YPF9|F6YPF9_MACMU	F6YPF9	F6YPF9_MACMU	COPS6	COP9 signalosome complex subunit 6	0	0	0	1	2	1	1	1	2	1	1	1	0	0	1	0
tr|F7F3N6|F7F3N6_MACMU	F7F3N6	F7F3N6_MACMU	CAPZB	F-actin-capping protein subunit beta	0	4	1	0	1	0	1	1	1	0	0	0	1	0	1	1
tr|F7HAP8|F7HAP8_MACMU	F7HAP8	F7HAP8_MACMU	H4C6	Histone H4	1	0	1	0	4	0	1	0	1	0	1	0	1	0	2	0
tr|G7MV11|G7MV11_MACMU	G7MV11	G7MV11_MACMU	RACK1	Small ribosomal subunit protein RACK1 (Fragment)	1	4	0	0	0	0	2	0	1	0	1	0	1	0	2	0
tr|F6UR12|F6UR12_MACMU	F6UR12	F6UR12_MACMU	KRT16	Keratin 16	1	2	2	0	1	1	0	0	0	1	0	0	2	0	1	1
tr|F7ECR3|F7ECR3_MACMU	F7ECR3	F7ECR3_MACMU	MAPK1	Mitogen-activated protein kinase	1	1	1	1	1	0	1	0	1	0	1	0	1	0	3	0
tr|F7GEU6|F7GEU6_MACMU	F7GEU6	F7GEU6_MACMU	SF3A1	Splicing factor 3A subunit 1 isoform 1	0	0	1	0	0	0	1	1	0	0	2	0	0	0	7	0
tr|A0A1D5Q3R2|A0A1D5Q3R2_MACMU	A0A1D5Q3R2	A0A1D5Q3R2_MACMU	PTCD1	Pentatricopeptide repeat domain 1	2	1	1	3	0	1	0	0	0	0	0	0	0	0	3	0
tr|A0A1D5Q535|A0A1D5Q535_MACMU	A0A1D5Q535	A0A1D5Q535_MACMU	PALM	Paralemmin	0	0	1	0	1	0	1	0	1	0	4	0	2	0	1	0
tr|A0A1D5Q846|A0A1D5Q846_MACMU	A0A1D5Q846	A0A1D5Q846_MACMU	GPS1	G protein pathway suppressor 1	0	0	0	0	1	0	2	0	4	1	0	0	0	0	3	0
tr|A0A5F7ZLM3|A0A5F7ZLM3_MACMU	A0A5F7ZLM3	A0A5F7ZLM3_MACMU	COMT	Catechol-O-methyltransferase	0	0	0	0	1	1	1	0	2	1	2	0	1	0	2	0
tr|H9YZY1|H9YZY1_MACMU	H9YZY1	H9YZY1_MACMU	PSMA6	Proteasome subunit alpha type	2	1	0	0	0	0	2	1	1	0	1	0	1	0	2	0
tr|Q3I1S1|Q3I1S1_MACMU	Q3I1S1	Q3I1S1_MACMU	VAT1	Vesicle amine transport 1 (Fragment)	1	1	0	1	1	0	1	1	0	0	0	0	1	1	3	0
tr|F7G176|F7G176_MACMU	F7G176	F7G176_MACMU	PSMA4	Proteasome subunit alpha type	2	0	1	0	1	0	1	1	2	0	1	1	1	0	0	0
tr|A0A5F7ZRR2|A0A5F7ZRR2_MACMU	A0A5F7ZRR2	A0A5F7ZRR2_MACMU	EHBP1	EH domain binding protein 1	0	2	0	1	0	2	0	0	1	0	0	1	2	1	0	1
tr|A0A1D5QG07|A0A1D5QG07_MACMU	A0A1D5QG07	A0A1D5QG07_MACMU	USP14	Ubiquitin carboxyl-terminal hydrolase	2	0	0	0	0	1	0	0	2	0	1	0	2	0	2	0
tr|A0A1D5QXA8|A0A1D5QXA8_MACMU	A0A1D5QXA8	A0A1D5QXA8_MACMU	AHSA1	Activator of 90 kDa heat shock protein ATPase homolog 1	0	0	0	0	0	0	3	0	1	1	1	0	0	0	4	0
tr|A0A1D5RFQ4|A0A1D5RFQ4_MACMU	A0A1D5RFQ4	A0A1D5RFQ4_MACMU	TBCD	Tubulin-specific chaperone D	2	0	1	1	0	0	1	0	2	0	0	0	0	0	3	0
tr|A0A5F7ZPF0|A0A5F7ZPF0_MACMU	A0A5F7ZPF0	A0A5F7ZPF0_MACMU	YWHAB	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta	0	1	2	1	1	0	1	1	0	1	0	1	0	0	0	1
tr|A0A5K1V678|A0A5K1V678_MACMU	A0A5K1V678	A0A5K1V678_MACMU	CHORDC1	Cysteine and histidine-rich domain-containing protein 1	0	0	1	0	3	0	2	0	0	0	2	0	1	0	1	0
tr|F6VZ13|F6VZ13_MACMU	F6VZ13	F6VZ13_MACMU	RDX	Radixin	0	0	1	0	2	0	2	0	0	0	5	0	0	0	0	0
tr|F7ARE6|F7ARE6_MACMU	F7ARE6	F7ARE6_MACMU	CYB5R2	NADH-cytochrome b5 reductase	0	2	0	1	0	3	0	0	0	1	0	1	1	0	1	0
tr|F7ETM9|F7ETM9_MACMU	F7ETM9	F7ETM9_MACMU	UCHL3	Ubiquitin carboxyl-terminal hydrolase	0	2	2	0	1	0	1	0	0	1	0	1	0	0	1	1
tr|H9EVU2|H9EVU2_MACMU	H9EVU2	H9EVU2_MACMU	PPID	Peptidyl-prolyl cis-trans isomerase D	0	2	0	1	1	1	2	0	0	0	0	1	0	1	1	0
tr|F7ERL2|F7ERL2_MACMU	F7ERL2	F7ERL2_MACMU	OLA1	Obg-like ATPase 1	0	0	0	0	1	1	2	0	1	1	3	0	0	0	1	0
tr|A0A1D5QY31|A0A1D5QY31_MACMU	A0A1D5QY31	A0A1D5QY31_MACMU	LOC717946	Uncharacterized protein	3	1	0	0	0	0	0	0	1	0	0	1	2	1	0	1
tr|H9Z3B8|H9Z3B8_MACMU	H9Z3B8	H9Z3B8_MACMU	ATOX1	Antioxidant 1 copper chaperone	0	1	0	1	0	1	0	1	1	1	1	1	0	1	0	1
tr|A0A5F7Z9T1|A0A5F7Z9T1_MACMU	A0A5F7Z9T1	A0A5F7Z9T1_MACMU	STAMBPL1	Tumor necrosis factor receptor superfamily member 6	0	0	2	0	1	0	4	0	0	0	0	0	0	0	2	0
tr|A0A5F7ZYG0|A0A5F7ZYG0_MACMU	A0A5F7ZYG0	A0A5F7ZYG0_MACMU	DDB1	DNA damage-binding protein 1	2	0	0	0	0	1	1	1	1	0	0	0	1	1	1	0
tr|F6T5H8|F6T5H8_MACMU	F6T5H8	F6T5H8_MACMU	DCTN1	Dynactin subunit 1	0	0	2	0	1	0	0	0	0	1	3	0	1	0	1	0
tr|F6U6B5|F6U6B5_MACMU	F6U6B5	F6U6B5_MACMU	LOC106996346	Small ribosomal subunit protein uS2	1	1	0	0	2	1	2	1	1	0	0	0	0	0	0	0
tr|F6VRC1|F6VRC1_MACMU	F6VRC1	F6VRC1_MACMU	NXN	Nucleoredoxin	2	0	0	0	0	0	1	0	1	1	0	0	3	0	1	0
tr|F6YH20|F6YH20_MACMU	F6YH20	F6YH20_MACMU	ABLIM1	Actin binding LIM protein 1	0	0	4	0	2	0	1	0	1	0	1	0	0	0	0	0
tr|F7C0F7|F7C0F7_MACMU	F7C0F7	F7C0F7_MACMU	PALM2AKAP2	PALM2 and AKAP2 fusion	0	0	1	0	1	0	1	0	0	0	3	0	1	0	2	0
tr|F7H2A5|F7H2A5_MACMU	F7H2A5	F7H2A5_MACMU	PFN1	Profilin	1	0	0	1	0	0	2	1	0	0	2	1	0	0	1	0
CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN	"CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN KERATIN, TYPE II CYTOSKELETAL 6A (CYTOKERATIN 6A) (CK 6A) (K6A KERATIN) [Homo sapiens]."	"CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN KERATIN, TYPE II CYTOSKELETAL 6A (CYTOKERATIN 6A) (CK 6A) (K6A KERATIN) [Homo sapiens]."		"CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN KERATIN, TYPE II CYTOSKELETAL 6A (CYTOKERATIN 6A) (CK 6A) (K6A KERATIN) [Homo sapiens]."	1	0	0	0	0	0	0	0	0	0	0	0	3	0	3	2
tr|A0A1D5RAD5|A0A1D5RAD5_MACMU	A0A1D5RAD5	A0A1D5RAD5_MACMU	ARL16	ADP ribosylation factor like GTPase 16	1	0	2	0	2	0	3	0	0	0	1	0	0	0	0	0
tr|F7FKV9|F7FKV9_MACMU	F7FKV9	F7FKV9_MACMU	TTC16	Tetratricopeptide repeat domain 16	1	0	1	0	2	0	1	0	1	0	2	0	0	0	1	0
tr|F6YDU0|F6YDU0_MACMU	F6YDU0	F6YDU0_MACMU	HAGH	Hydroxyacylglutathione hydrolase	0	2	0	1	1	0	1	0	0	0	1	1	1	1	0	0
tr|A0A1D5Q3B0|A0A1D5Q3B0_MACMU	A0A1D5Q3B0	A0A1D5Q3B0_MACMU	LOC715687	phosphoserine phosphatase	1	0	0	0	1	0	1	1	1	0	0	0	1	0	2	0
tr|A0A1D5QYN2|A0A1D5QYN2_MACMU	A0A1D5QYN2	A0A1D5QYN2_MACMU	GSR	Glutathione reductase	0	1	0	0	0	0	1	1	0	1	1	1	0	1	1	0
tr|A0A1D5R867|A0A1D5R867_MACMU	A0A1D5R867	A0A1D5R867_MACMU	NCAM1	Neural cell adhesion molecule 1	0	0	2	0	1	0	2	0	0	0	2	0	0	0	1	0
tr|A0A5F7ZLB5|A0A5F7ZLB5_MACMU	A0A5F7ZLB5	A0A5F7ZLB5_MACMU	CAPS	Calcyphosine	0	0	1	1	2	0	1	0	0	0	1	1	0	0	1	0
tr|F6UTZ3|F6UTZ3_MACMU	F6UTZ3	F6UTZ3_MACMU	XPNPEP1	X-prolyl aminopeptidase 1	0	0	0	1	1	0	2	0	0	0	0	0	1	0	3	0
tr|F7AUV0|F7AUV0_MACMU	F7AUV0	F7AUV0_MACMU	CSE1L	Exportin-2	0	0	0	0	2	1	2	1	0	0	0	0	0	0	2	0
tr|F7CT78|F7CT78_MACMU	F7CT78	F7CT78_MACMU	USP5	Ubiquitin carboxyl-terminal hydrolase	0	0	1	0	1	0	0	0	1	1	0	0	2	0	2	0
tr|F7FBM0|F7FBM0_MACMU	F7FBM0	F7FBM0_MACMU	TTN	Titin	0	1	1	0	1	0	0	1	0	1	1	0	0	1	1	0
tr|F7GPM1|F7GPM1_MACMU	F7GPM1	F7GPM1_MACMU	RALA	RAS like proto-onco A	1	0	0	0	1	0	0	0	2	1	2	0	0	0	0	1
tr|H9Z3S0|H9Z3S0_MACMU	H9Z3S0	H9Z3S0_MACMU	PSMC3	26S protease regulatory subunit 6A	0	0	1	2	2	0	1	0	0	0	1	0	0	0	1	0
tr|I0FUG9|I0FUG9_MACMU	I0FUG9	I0FUG9_MACMU	BPGM	Phosphoglycerate mutase	0	2	0	0	0	0	0	0	0	1	1	1	0	2	0	1
tr|A0A1D5R8L3|A0A1D5R8L3_MACMU	A0A1D5R8L3	A0A1D5R8L3_MACMU	GBE1	"1,4-alpha-glucan branching enzyme"	1	1	1	1	1	0	1	0	0	0	0	0	2	0	0	0
tr|A0A1D5R7U7|A0A1D5R7U7_MACMU	A0A1D5R7U7	A0A1D5R7U7_MACMU	RAPGEF3	Rap guanine nucleotide exchange factor 3	0	4	0	0	0	1	0	0	1	0	1	0	0	0	0	1
tr|F7GL19|F7GL19_MACMU	F7GL19	F7GL19_MACMU	CSPG4	Chondroitin sulfate proteoglycan 4	0	0	0	0	1	0	1	0	4	0	2	0	0	0	0	0
sp|P67997|PRIO_MACMU	P67997	PRIO_MACMU	PRNP	Major prion protein	1	0	2	0	1	0	0	0	1	0	1	0	0	0	1	0
tr|A0A5F7ZA94|A0A5F7ZA94_MACMU	A0A5F7ZA94	A0A5F7ZA94_MACMU	NDUFA11	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11	0	0	0	1	0	1	0	0	0	0	0	0	2	1	1	1
tr|A0A5F7ZLL7|A0A5F7ZLL7_MACMU	A0A5F7ZLL7	A0A5F7ZLL7_MACMU	RAB7A	"RAB7A, member RAS onco family"	1	0	1	0	1	0	3	0	0	0	1	0	0	0	0	0
tr|A0A5F8A3Z5|A0A5F8A3Z5_MACMU	A0A5F8A3Z5	A0A5F8A3Z5_MACMU	ABAT	"4-aminobutyrate aminotransferase, mitochondrial"	0	1	1	1	1	0	0	1	1	0	0	0	0	1	0	0
tr|A0A5F8AAD7|A0A5F8AAD7_MACMU	A0A5F8AAD7	A0A5F8AAD7_MACMU	CRYL1	Crystallin lambda 1	2	0	0	0	1	0	1	0	0	1	0	0	0	0	2	0
tr|F6R900|F6R900_MACMU	F6R900	F6R900_MACMU	CUL3	Cullin-3	0	0	0	0	1	0	2	0	0	0	1	0	0	0	3	0
tr|F6RKI4|F6RKI4_MACMU	F6RKI4	F6RKI4_MACMU	TAGLN2	Transgelin	0	2	0	0	0	2	0	1	0	1	0	0	0	0	0	1
tr|F6UPJ2|F6UPJ2_MACMU	F6UPJ2	F6UPJ2_MACMU	PSMD12	"Proteasome 26S subunit, non-ATPase 12"	0	0	0	0	1	0	2	0	1	0	0	0	0	1	2	0
tr|F7H5L4|F7H5L4_MACMU	F7H5L4	F7H5L4_MACMU	CYFIP1	Cytoplasmic FMR1-interacting protein	0	0	0	0	1	0	2	0	2	0	0	0	1	0	1	0
tr|H9EQB9|H9EQB9_MACMU	H9EQB9	H9EQB9_MACMU	IPO7	Importin-7	1	0	1	2	0	0	0	0	0	1	0	0	0	0	2	0
tr|A0A5F7ZY30|A0A5F7ZY30_MACMU	A0A5F7ZY30	A0A5F7ZY30_MACMU	GNPDA2	glucosamine-6-phosphate deaminase	1	0	0	2	0	0	0	0	0	1	0	1	1	1	0	0
tr|H9EU90|H9EU90_MACMU	H9EU90	H9EU90_MACMU	NUDT4	diphosphoinositol-polyphosphate diphosphatase	0	0	2	0	2	0	3	0	0	0	0	0	0	0	0	0
tr|H9FXF7|H9FXF7_MACMU	H9FXF7	H9FXF7_MACMU	PSMD1	26S proteasome non-ATPase regulatory subunit 1	0	0	0	0	2	0	1	0	1	0	0	1	0	0	1	1
tr|A0A5F7ZBD6|A0A5F7ZBD6_MACMU	A0A5F7ZBD6	A0A5F7ZBD6_MACMU		Phosphoglycerate mutase	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	1
tr|F7H142|F7H142_MACMU	F7H142	F7H142_MACMU	COPS5	COP9 signalosome complex subunit 5	1	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0
tr|H9Z4J0|H9Z4J0_MACMU	H9Z4J0	H9Z4J0_MACMU	NUDC	Nuclear migration protein nudC	0	0	0	0	1	0	0	0	2	0	0	0	3	0	1	0
tr|F6UEV5|F6UEV5_MACMU	F6UEV5	F6UEV5_MACMU	HEATR1	HEAT repeat-containing protein 1	1	0	1	0	0	0	1	1	0	1	1	0	1	0	0	0
tr|A0A5F7ZIG8|A0A5F7ZIG8_MACMU	A0A5F7ZIG8	A0A5F7ZIG8_MACMU		RNA-directed DNA polymerase	0	0	4	0	0	0	0	1	0	0	1	0	0	0	0	1
tr|F7H2X3|F7H2X3_MACMU	F7H2X3	F7H2X3_MACMU	BARX1	BARX homeobox 1	0	0	1	1	0	0	0	1	1	0	0	0	0	2	0	1
CONT_050|gi|280816|pir||A37343	"CONT_050|gi|280816|pir||A37343 keratin 13, type I, cytoskeletal, short form [Homo sapiens]."	"CONT_050|gi|280816|pir||A37343 keratin 13, type I, cytoskeletal, short form [Homo sapiens]."		"CONT_050|gi|280816|pir||A37343 keratin 13, type I, cytoskeletal, short form [Homo sapiens]."	2	0	1	0	0	0	1	0	0	0	0	0	2	0	1	0
tr|A0A1D5QUA1|A0A1D5QUA1_MACMU	A0A1D5QUA1	A0A1D5QUA1_MACMU	CORO2B	Coronin	2	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0
tr|A0A1D5R978|A0A1D5R978_MACMU	A0A1D5R978	A0A1D5R978_MACMU	NSF	Vesicle-fusing ATPase	1	0	1	0	0	0	2	0	1	0	0	0	1	0	0	0
tr|A0A1D5RB27|A0A1D5RB27_MACMU	A0A1D5RB27	A0A1D5RB27_MACMU	PPP1R7	Protein phosphatase 1 regulatory subunit 7	1	0	2	0	0	0	0	0	0	0	1	0	1	0	1	0
tr|A0A1D5RE81|A0A1D5RE81_MACMU	A0A1D5RE81	A0A1D5RE81_MACMU	QPRT	Nicotinate-nucleotide pyrophosphorylase [carboxylating]	0	2	0	0	0	0	0	0	1	2	0	1	0	0	0	0
tr|F7BM39|F7BM39_MACMU	F7BM39	F7BM39_MACMU	PABPC1	Polyadenylate-binding protein	0	0	1	0	2	0	3	0	0	0	0	0	0	0	0	0
tr|F7DLR1|F7DLR1_MACMU	F7DLR1	F7DLR1_MACMU	CSTB	Cystatin B	0	0	0	2	0	0	0	1	0	0	0	2	0	1	0	0
tr|F7F8G8|F7F8G8_MACMU	F7F8G8	F7F8G8_MACMU	S100A9	Protein S100	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0
tr|F7HAE6|F7HAE6_MACMU	F7HAE6	F7HAE6_MACMU	SPTBN5	"Spectrin beta, non-erythrocytic 5"	0	0	1	0	1	1	1	0	0	0	0	0	1	0	1	0
tr|F7HH37|F7HH37_MACMU	F7HH37	F7HH37_MACMU	GLRX3	Glutaredoxin 3	0	0	0	0	2	0	0	0	0	0	2	0	0	0	2	0
tr|G7MRK4|G7MRK4_MACMU	G7MRK4	G7MRK4_MACMU	VARS1	Valine--tRNA ligase	0	1	0	1	0	0	1	0	1	0	0	0	1	0	1	0
tr|H9EQL5|H9EQL5_MACMU	H9EQL5	H9EQL5_MACMU	EIF3M	Eukaryotic translation initiation factor 3 subunit M	0	0	1	0	3	0	1	0	0	0	0	0	1	0	0	0
tr|I0FJ95|I0FJ95_MACMU	I0FJ95	I0FJ95_MACMU	APPL2	"Adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2"	0	0	1	0	1	0	3	0	0	0	0	0	0	0	1	0
tr|I0FLC3|I0FLC3_MACMU	I0FLC3	I0FLC3_MACMU	LTA4H	Leukotriene A(4) hydrolase	0	0	0	1	1	0	0	0	0	0	0	0	0	0	4	0
tr|A0A1D5R480|A0A1D5R480_MACMU	A0A1D5R480	A0A1D5R480_MACMU	PYGL	"Alpha-1,4 glucan phosphorylase"	1	0	1	0	0	0	0	0	2	0	0	0	0	0	2	0
tr|F6R248|F6R248_MACMU	F6R248	F6R248_MACMU	HINT1	Histidine triad nucleotide-binding protein 1	0	0	0	1	0	2	1	0	0	0	0	2	0	0	0	0
tr|F6V6M4|F6V6M4_MACMU	F6V6M4	F6V6M4_MACMU	EIF3F	Eukaryotic translation initiation factor 3 subunit F	0	0	0	0	1	0	2	0	0	0	1	0	0	1	0	1
tr|G7NGX7|G7NGX7_MACMU	G7NGX7	G7NGX7_MACMU	PRPSAP1	Phosphoribosyl pyrophosphate synthase-associated protein 1	1	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0
tr|F7HFH9|F7HFH9_MACMU	F7HFH9	F7HFH9_MACMU	BPIFC	Bactericidal permeability-increasing protein	0	0	0	1	0	0	0	1	1	0	0	0	0	1	1	1
tr|A0A1D5R370|A0A1D5R370_MACMU	A0A1D5R370	A0A1D5R370_MACMU	HNRNPH1	Heteroous nuclear ribonucleoprotein H1	0	0	1	0	1	0	2	0	0	0	1	0	0	0	1	0
tr|F7CBG2|F7CBG2_MACMU	F7CBG2	F7CBG2_MACMU	GATD1	Glutamine amidotransferase class 1 domain containing 1	1	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0
tr|A0A1D5Q3V3|A0A1D5Q3V3_MACMU	A0A1D5Q3V3	A0A1D5Q3V3_MACMU	GPRC5B	G protein-coupled receptor class C group 5 member B	0	0	1	0	2	0	1	0	0	0	2	0	0	0	0	0
tr|A0A1D5QJS1|A0A1D5QJS1_MACMU	A0A1D5QJS1	A0A1D5QJS1_MACMU	KPNA6	Importin subunit alpha	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0
tr|A0A1D5QNN5|A0A1D5QNN5_MACMU	A0A1D5QNN5	A0A1D5QNN5_MACMU	ATP6V1B2	Vacuolar proton pump subunit B	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0
tr|A0A5F7ZI92|A0A5F7ZI92_MACMU	A0A5F7ZI92	A0A5F7ZI92_MACMU	PGM1	Phosphoglucomutase 1	0	0	0	0	1	0	2	0	1	0	0	0	0	0	1	0
tr|A0A5F8AUS2|A0A5F8AUS2_MACMU	A0A5F8AUS2	A0A5F8AUS2_MACMU	BSG	Basigin	0	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0
tr|F7DN38|F7DN38_MACMU	F7DN38	F7DN38_MACMU	CTNNA1	Catenin alpha 1	0	0	2	1	0	0	0	0	0	0	1	1	0	0	0	0
tr|F7DQV0|F7DQV0_MACMU	F7DQV0	F7DQV0_MACMU	EIF2S3	protein-synthesizing GTPase	1	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0
tr|F7GB02|F7GB02_MACMU	F7GB02	F7GB02_MACMU	TTC38	Tetratricopeptide repeat protein 38	0	0	0	0	0	0	2	0	1	1	0	0	0	0	1	0
tr|H9FSJ0|H9FSJ0_MACMU	H9FSJ0	H9FSJ0_MACMU	PGLS	6-phosphogluconolactonase	0	1	0	0	2	0	0	1	0	0	0	1	0	0	0	0
tr|F7FI83|F7FI83_MACMU	F7FI83	F7FI83_MACMU	GMFB	Glia maturation factor	0	0	0	0	0	2	0	1	0	1	0	1	0	0	0	0
tr|H9H4A4|H9H4A4_MACMU	H9H4A4	H9H4A4_MACMU	DPYSL4	Dihydropyrimidinase like 4	1	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0
tr|A0A5F7ZXR4|A0A5F7ZXR4_MACMU	A0A5F7ZXR4	A0A5F7ZXR4_MACMU		Peptidase M20 dimerisation domain-containing protein	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1
tr|A0A5F8AD93|A0A5F8AD93_MACMU	A0A5F8AD93	A0A5F8AD93_MACMU		40S ribosomal protein S12	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr|A0A1D5R0F4|A0A1D5R0F4_MACMU	A0A1D5R0F4	A0A1D5R0F4_MACMU	OXSR1	non-specific serine/threonine protein kinase	1	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0
tr|A0A5F7ZAS1|A0A5F7ZAS1_MACMU	A0A5F7ZAS1	A0A5F7ZAS1_MACMU	PLIN3	Perilipin	0	0	1	0	1	0	2	0	0	0	1	0	0	0	0	0
